"EEP1";"EEP2";"EEP3";"EEP4";"EEP5";"EEP6";"EEP7";"EEP8";"EEP9";"EEP10";"Idade";"Sexo"
2;1;2;2;2;2;4;2;2;1;34;2
2;2;2;1;1;2;2;2;2;2;57;2
3;2;3;2;2;3;3;2;3;2;26;2
4;3;4;2;2;4;2;5;4;5;31;2
2;2;2;1;1;2;1;2;2;2;59;2
3;2;3;3;2;4;1;2;3;2;27;2
2;2;2;2;2;5;1;1;2;4;53;2
2;1;2;3;4;4;4;2;2;2;49;2
2;2;3;1;1;2;2;1;1;1;31;2
2;3;3;2;2;2;2;2;2;2;56;2
4;3;3;3;2;4;3;2;4;4;48;2
4;3;4;4;3;5;4;4;4;3;30;2
2;2;3;2;2;3;2;2;2;2;37;2
5;3;3;1;3;3;2;4;3;3;39;2
2;2;2;2;2;2;2;4;1;1;28;2
2;2;3;2;3;3;4;3;3;3;47;2
5;5;3;2;2;4;3;2;5;5;42;2
4;4;4;1;2;3;3;4;2;2;25;2
5;5;5;4;4;5;4;5;5;5;53;2
3;3;4;3;4;2;3;3;3;3;38;2
4;4;2;2;2;3;2;2;1;1;56;2
5;5;5;4;3;5;3;5;5;3;50;2
3;3;3;2;3;3;3;3;3;3;51;2
3;3;2;2;2;3;2;3;2;1;29;2
2;2;4;1;1;2;4;3;5;2;26;2
5;5;5;1;1;5;1;2;5;5;35;2
5;5;5;1;4;5;2;5;5;5;31;2
2;5;4;1;3;3;1;2;5;4;24;2
5;5;5;5;1;5;5;5;5;1;41;2
2;3;2;2;1;2;2;1;2;2;25;2
4;4;4;2;3;4;4;3;4;3;20;2
3;2;2;1;2;3;1;2;3;2;29;2
2;1;3;3;1;5;2;4;3;4;22;2
2;2;2;1;2;1;2;2;2;1;23;2
5;5;5;4;3;5;5;5;5;5;22;2
3;2;3;2;3;3;1;3;1;2;25;2
4;2;5;1;2;5;3;4;3;3;24;2
2;2;3;1;1;2;1;1;3;2;57;2
2;2;1;2;2;1;2;4;1;1;22;2
2;2;1;2;4;4;2;3;2;3;24;2
2;2;3;1;2;2;2;2;3;1;24;2
3;2;4;2;3;2;2;3;2;3;23;2
2;2;2;1;1;3;1;1;2;3;33;2
5;5;5;4;4;5;4;5;5;5;30;2
3;4;3;1;1;3;1;5;2;3;24;2
3;2;2;2;2;2;2;3;3;2;32;2
5;4;4;3;2;2;3;4;5;2;31;2
3;2;2;1;1;2;2;2;2;1;44;2
3;2;3;2;1;2;3;2;2;1;27;2
5;5;5;3;2;3;2;2;4;5;35;2
3;4;4;3;5;4;3;5;4;2;27;2
3;3;4;3;3;4;3;3;3;4;22;2
3;2;4;2;1;2;2;2;5;1;32;2
2;1;2;1;2;4;2;1;1;1;64;2
4;5;5;1;2;4;2;4;2;4;41;2
3;3;3;3;2;4;3;2;4;2;23;2
2;3;3;1;2;3;1;2;2;2;56;2
2;2;2;2;1;2;2;2;2;2;27;2
3;2;4;1;2;2;4;2;3;2;33;2
3;3;4;3;3;4;4;4;3;2;32;2
2;2;2;2;2;2;2;2;2;2;49;2
3;3;3;2;2;3;2;3;4;2;30;2
3;2;2;2;2;1;3;2;2;2;32;2
2;2;3;1;2;2;3;3;3;1;23;2
2;2;2;1;1;2;2;2;2;2;32;2
3;3;3;2;2;4;3;3;3;3;32;2
5;4;5;2;3;5;4;4;5;4;32;2
2;2;2;2;3;2;1;2;2;2;28;2
3;2;4;3;3;2;3;4;3;2;24;2
5;4;3;3;2;4;3;3;4;3;49;2
4;4;5;4;3;3;3;3;4;3;31;2
2;2;3;2;3;3;1;1;2;2;46;2
2;3;2;2;2;3;3;2;3;2;56;2
3;2;3;2;2;3;2;2;3;3;39;2
2;3;2;2;2;2;2;1;4;1;40;2
3;2;4;2;3;3;2;3;4;4;31;2
3;3;5;4;4;5;2;4;5;3;29;2
3;4;4;3;4;5;3;4;3;4;30;2
4;2;4;1;2;4;2;3;4;4;26;2
2;2;1;2;2;2;2;2;1;2;34;2
2;1;2;1;1;3;2;2;2;2;27;2
1;1;2;1;1;5;1;1;4;1;43;2
3;3;2;2;3;2;2;3;2;2;41;2
2;2;2;2;2;2;4;2;2;2;49;2
4;2;3;1;2;2;2;1;3;2;52;2
2;1;2;2;1;2;1;2;1;1;31;2
3;5;2;3;4;3;3;5;5;5;47;2
3;2;2;1;3;2;2;2;2;1;31;2
3;4;3;4;4;5;4;4;4;5;27;2
4;2;4;1;1;4;3;2;5;2;25;2
5;4;5;3;3;3;4;2;4;3;40;2
5;4;5;3;3;5;1;4;4;5;42;2
3;2;3;3;3;5;2;3;3;1;22;2
2;2;3;2;2;3;2;2;2;2;22;2
2;2;3;2;2;4;2;2;4;2;23;2
4;4;5;4;3;4;4;5;5;4;32;2
3;2;3;3;2;2;4;4;2;2;28;2
2;2;2;2;2;3;2;1;2;2;55;2
4;5;3;3;3;4;4;3;5;4;34;2
2;1;2;1;2;5;2;2;4;4;43;2
5;5;5;4;3;4;3;5;4;5;35;2
2;2;2;2;2;2;2;2;2;2;56;2
3;1;5;1;3;3;3;2;5;2;29;2
2;2;2;2;2;3;2;2;2;2;47;2
3;3;5;2;5;3;1;3;4;3;26;2
4;4;4;4;4;4;3;4;4;4;27;2
3;3;3;3;4;2;3;3;3;3;24;2
2;3;4;4;3;3;4;5;4;3;18;2
2;2;3;2;2;2;3;4;3;1;29;2
2;1;4;2;2;3;4;4;5;5;23;2
5;5;2;4;4;2;4;4;5;5;24;2
2;2;3;2;4;3;4;4;5;1;21;2
3;4;2;4;3;4;2;3;2;2;28;2
3;2;2;2;2;3;4;2;2;3;23;2
4;4;4;3;3;2;4;4;4;5;38;2
5;5;5;4;5;5;4;5;4;5;30;2
1;1;1;2;2;3;2;2;2;2;27;2
4;4;4;2;4;4;3;4;4;3;42;2
3;2;4;1;1;3;3;1;4;3;53;2
2;3;2;2;2;2;2;3;2;2;54;2
4;3;4;3;3;2;3;3;2;2;24;2
4;2;4;2;3;2;3;1;4;2;30;2
4;4;4;2;2;4;2;3;4;4;24;2
4;3;4;3;4;5;2;5;4;2;31;2
3;3;3;1;1;2;1;1;4;1;32;2
